ACCOUNT_ID,TOTAL_DEPOSITS,TOTAL_WITHDRAWALS,TXN_COUNT,ENDING_BALANCE
89,1936679,4666727,13,6758754
90,2973101,1964848,11,6784135
91,2474954,2822235,9,5354015
92,2341867,2491815,9,2828413
93,1924252,941119,6,10187483
94,1718748,2462039,8,5255578
95,4456871,1755243,15,7798929
96,887852,1259519,7,2730119
97,611274,3039919,10,6754406
98,3425702,2373912,13,10123460
99,2761791,1174190,6,6814276
100,4377542,3207881,13,10348576
101,2696174,3220973,10,808692
102,2834567,3053632,9,8142951
103,3345041,2498532,11,4354391
104,2122080,1636393,9,8684939
105,2218103,903226,7,7084174
106,931172,4055386,11,2812373
107,1993255,4251719,13,5221297
108,3679281,1397836,11,5461231
109,2804546,2876528,9,4458185
110,3800759,1643614,10,2589869
111,2114775,3582634,12,-72973
112,2381051,1254883,7,6453506
113,2322960,1278401,8,8194112
114,6762006,2598162,19,11581307
115,136048,0,1,5609487
116,3414943,2830604,14,9807121
117,1821304,1970611,7,854468
118,4149984,2916069,12,1457887
119,4687460,3443901,15,3164496
120,777963,1045366,7,6545090
121,1385400,3787597,9,748964
122,3285425,3944634,12,4224653
123,3255059,2366809,13,6954541
124,4118232,1003413,9,3308164
125,2943015,2305450,10,3786285
126,2625874,7606109,19,1393898
127,2617062,3091210,10,4854896
128,4344225,2348769,9,4512503
129,3446803,2576235,12,8387604
130,3359957,2147503,10,3184121
131,1418107,3222118,10,4444800
132,3741156,1627126,8,2308612
133,4394111,477548,11,6990071
134,1210111,4297211,11,1465343
135,3963342,2526989,12,4823890
136,1439839,3978667,12,-335523
137,5217276,1598634,12,7140284
138,918387,1670873,7,8299595
139,2255683,2633922,13,774534
140,3510867,4770552,16,2075103
141,1450310,1422659,6,8211376
142,3061908,2126630,8,6549971
143,3988643,2178050,12,10188628
144,1500231,1413019,7,3096157
145,3860735,2304062,12,10731332
146,2301253,2216948,10,2882937
147,2256706,2088420,10,9920465
148,2334860,5435637,14,1390689
149,2162875,2002757,9,1759607
150,2833148,5325114,14,989617
151,360153,1177283,4,6019854
152,2117684,3109619,11,8556418
153,1921436,1603866,7,8620485
154,1888347,2200403,8,7451478
155,2936585,2838341,11,7697280
156,2275887,3723795,10,4938716
157,2719587,2289503,7,8263554
158,4755925,2713709,13,8037871
159,2076542,3542910,11,2218811
160,3680782,1664329,12,4950195
161,2175821,1185191,8,5285392
162,3157119,938361,9,6451143
163,3700941,1585270,11,9332800
164,4667128,3717310,15,10100258
165,3334105,3916335,13,2268055
166,2567503,4182376,11,1795500
167,2500878,3104496,9,8188578
168,5169310,2225844,12,5351646
169,1990301,2245896,9,1937647
170,1433305,881515,5,3478376
171,3794428,1323411,11,7833376
172,3103007,2366867,13,1845660
173,3297556,4173800,14,6341712
174,1009187,1434966,5,7419532
175,2070483,1310717,6,2491365
176,2096203,3501055,14,8080791
177,1311471,6553504,15,1276676
178,2940987,1530922,7,2587721
179,3370855,1421392,9,8619852
180,5089814,590600,12,8895241
181,1997215,2375803,7,5403691
182,4710224,541235,10,5018254
183,4121460,2908501,15,1828784
184,2129622,1655433,9,9935052
185,1365047,3062690,7,5917108
186,2323385,2945380,11,4696227
187,3349453,2812479,11,8122932
188,2733310,4539634,16,4971732
189,5758395,2833565,15,7279842
190,1448225,2313568,7,-609237
191,3448356,2195277,9,3737318
192,1735948,2877475,13,2558042
193,2393559,1073622,7,2404449
194,2981422,2378058,10,8773355
195,1281433,3159135,10,729599
196,1881856,2797104,7,254387
197,3229202,1362337,10,4141526
198,2926287,4765229,14,5250769
199,3735166,981629,8,11584703
200,2783629,667638,5,7145212
201,2758856,4195852,14,2407743
202,2066148,1652018,11,6056140
203,1515668,1464645,9,8475619
204,1797776,1517357,6,3857219
205,1948485,2457158,9,9259369
206,2410559,2820520,8,1076179
207,3106064,745092,9,10731211
208,2906463,2345660,12,8917365
209,625681,2338323,5,3122737
210,1643037,2737681,9,4681801
211,1952747,1322582,9,3559822
212,3228833,2151899,8,7538477
213,3936658,2761715,15,11034413
214,1502328,1214171,10,6643811
215,2497087,3152401,14,6780942
216,3183903,3036914,10,3391644
217,2426357,2653521,8,1552570
218,3946096,1287536,10,2801375
219,2994557,3842760,12,6529834
220,3002187,3841595,13,8708220
221,2216633,1035401,6,9556750
222,2319881,842867,9,7598710
223,5080011,3136241,14,10241762
224,3371296,784055,9,5230710
225,3408547,3390636,13,5837246
226,1342595,1867509,8,914310
227,359723,4321458,7,-216213
228,2714222,1864006,8,8950531
229,4159839,4206117,14,9839222
230,2175968,2149645,12,7650106
231,1452705,49670,5,8353459
232,6195598,3878619,17,10394431
233,3874752,9647,7,4671009
234,4303064,337966,9,5911820
235,3827709,2974269,12,3162686
236,3114962,1155890,10,11461711
237,4042958,1709173,10,9147042
238,4671908,2734614,16,5929403
239,7791313,1816467,15,13109038
240,4027926,263735,8,10898813
241,5760232,1112873,13,11239950
242,2379834,2012868,11,7092780
243,1377511,0,5,5235847
244,3991232,3046329,14,3976138
245,2457253,3677398,15,4438591
246,1269986,541988,8,2776201
247,1118756,4185423,11,6264456
248,1675872,1302392,8,5064746
249,3075862,2542936,11,7752400
250,2770816,3657047,14,5012224
251,1918488,1768964,9,574076
252,2269635,1964571,8,6529364
253,1633593,1752628,6,7271225
254,1362325,3176214,6,2284581
255,898541,4621278,11,4362215
256,5472961,1068763,12,5482433
257,2026420,614209,5,3891869
258,2515473,558824,7,2683129
259,4941631,3456756,13,5334282
260,2775883,524467,6,10353902
261,1147028,3448546,9,4789218
262,7444497,1612549,14,9187405
263,4943190,1276915,12,6573747
264,3594358,1544763,10,9788457
265,2470262,2283057,7,8017342
266,1562450,3910032,10,6278502
267,3052486,1793392,8,5268075
268,914207,3208087,6,7643160
269,2628776,2521682,10,5973763
270,3310312,5401571,16,3501161
271,4528417,2871730,13,3191573
272,3721292,2243024,12,5064120
273,861586,2723317,7,6350675
274,3564496,3463504,15,2664249
275,2978357,3891308,12,3698693
276,4609205,3222019,11,5792237
277,3765908,4913454,13,8162684
278,2777115,3599680,13,7530542
279,3731829,1612638,14,7161386
280,825660,1134474,6,2730933
281,3047790,271506,6,10511132
282,2887494,1691223,10,5981160
283,1799581,2611347,11,776723
284,4643960,1812674,11,3987092
285,2428342,1766055,7,8779804
286,1934057,4444430,12,-467479
287,2995057,1532602,9,5838419
288,6734501,3103587,17,7405938
289,4389059,2796237,11,1636053
290,662914,3167767,11,4092160
291,1376286,1779873,8,968988
292,890996,3625086,8,-781602
293,2615805,1891782,7,5172292
294,3720993,3700945,15,6056089
295,2802728,2535897,10,1536231
296,3098880,3657176,12,5730753
297,5567434,4813974,17,7063561
298,6079775,1659604,11,9933503
299,3908690,2895604,12,1930527
300,1593465,1210186,5,553550
301,4138068,3883746,14,1202312
302,1954337,3295994,11,467737
303,3720227,2816758,11,4444476
304,4477580,486455,9,12309441
305,3003551,941808,10,7784937
306,882299,4078725,8,2256364
307,1562632,1529672,7,6958039
308,1372131,3895668,13,2911148
309,1394460,5046272,13,5610424
310,687291,1762779,5,5346317
311,3314930,2898810,10,5939915
312,2816875,2157330,9,7667911
313,3758215,2451251,13,10251429
314,1048325,1063647,7,187665
315,5003456,1663141,14,6767203
316,1346239,1387264,7,4892292
317,4311198,1376635,9,11633632
318,2705457,3388569,12,8550038
319,3091515,2110962,9,5815966
320,2945578,3422062,12,2064024
321,84663,2844024,5,144904
322,514582,2801031,7,-557776
323,4231981,989330,9,12006282
324,3019203,454728,7,2905394
325,0,2409998,5,2048500
326,3534790,2385572,11,10033770
327,5968340,737086,11,5942766
328,4465068,2999176,13,1726120
329,2672407,3070223,12,742706
330,1751376,3093193,13,8416961
331,2409444,1523439,6,1033592
332,2074662,1905372,7,4101001
333,4557442,2571596,11,5048836
334,3685901,6651582,19,-857132
335,5166376,1335318,9,13126114
336,769788,2801858,8,3003759
337,2290424,2852270,9,1728798
338,2033919,1961317,9,6355608
339,1166993,1715402,7,2961993
340,3567671,1575414,9,10066274
341,2764038,2004153,9,8797839
342,2702415,4616446,13,1642539
343,2231947,2320763,12,1151255
344,3240113,1332126,12,3185918
345,1375582,3628172,7,6081296
346,1478078,2693036,12,3121643
347,4374588,1295323,9,5047016
348,747001,1415981,4,1904494
349,2724245,3234795,11,2570202
350,2007058,2561164,7,2814402
351,2115464,1900755,8,9779986
352,1806740,1096925,9,2164723
353,957734,4322266,10,3129909
354,6585998,2449498,17,6409612
355,2140477,4137709,12,6743017
356,2510611,2929701,10,4866516
357,2078417,2736649,11,5431493
358,429794,422297,4,7728145
359,3921521,3627081,17,6890134
360,2538914,2413874,13,2897157
361,3235005,3804069,15,267369
362,3330869,2810560,12,7155674
363,2385340,2952368,10,8006348
364,3772358,2432194,14,10975256
365,2692504,3717406,12,5813508
366,1463187,3661722,11,3557574
367,2240983,4122973,14,-99944
368,2764749,1850919,7,8357690
369,4064072,3013898,17,4065599
370,2333645,589517,9,2833038
371,5074849,2523424,18,5313549
372,1867964,3079417,16,275624
373,1421406,1238672,8,9350312
374,2108011,1569046,6,1867052
375,4539440,3574282,16,7340262
376,2823155,779150,6,10178517
377,3011328,0,4,7335286
378,1159886,950492,5,9733925
379,1613020,981503,5,1481247
380,4105065,1496768,9,3474160
381,2138412,2568166,9,9095219
382,3172613,2689767,11,549326
383,2975194,1859257,10,8922213
384,2449359,2315016,8,1552216
385,3646924,1882368,11,7681538
386,1988651,3045288,12,-240046
387,2306398,1808977,10,5029119
388,2209914,3691313,12,5248445
389,328043,2535648,6,4965729
390,16516,5297006,10,-864775
391,1666445,1690148,9,4855584
392,3365879,3858417,10,5431219
393,4656471,4744874,16,6486853
394,1924138,3317960,8,-897147
395,3217514,3581013,13,9395526
396,1370254,1869266,5,6115899
397,2868865,637120,10,11751514
398,2120836,2313417,8,311130
399,3201365,3251286,12,4572173
400,1783746,0,5,5569351
401,3975542,617718,11,12782026
402,4716750,2389980,10,11535952
403,2736997,3694706,10,-82519
404,3739031,3379078,15,2023968
405,1731465,2233169,7,4525681
406,776196,690794,4,8969691
407,814816,1560009,6,5111645
408,4517766,2160395,12,6276747
409,1583008,3869293,7,5860952
410,2116486,1728171,8,449151
411,1889910,1425007,7,4074141
412,2466194,1523789,9,3387872
413,4765130,2456266,14,2801319
414,2213208,2863439,12,1411569
415,4063811,1023266,11,9872077
416,1787607,3655077,10,-1804691
417,3363817,1363434,8,11237526
418,1271229,4425536,10,-1395203
419,2814771,3938278,11,5358
420,607218,1267394,6,2224413
421,1735797,1308566,7,1032977
422,794778,1483852,6,3895460
423,4055859,2922393,11,6623274
424,3593277,2186161,14,9755045
425,3309382,2558005,11,2988173
426,3273989,526964,9,11786351
427,2695417,2256301,9,5870793
428,2757352,3052324,9,-6947
429,2073632,2969975,12,1748240
430,2454006,466956,9,5659829
431,2192898,2617390,11,5367224
432,2490348,1467424,9,6147845
433,1645969,1053306,9,4711563
434,4032262,2175920,13,1953830
435,339866,1874408,7,3091505
436,1459439,4172095,11,7005088
437,2785747,3623977,11,1051439
438,6294103,1652644,15,11817705
439,1629630,4624512,9,6314088
440,2065103,2274638,8,1845668
441,3082305,741369,9,5812274
442,2940148,3714587,14,-470994
443,1820668,1293450,7,7306980
444,2635678,1658194,10,4955520
445,2723096,2692317,11,4973374
446,2160103,1440926,6,10500530
447,1836853,3580182,10,-646354
448,2120440,1765230,8,5664704
449,1766247,3363226,9,6629230
450,4179530,957199,7,11846030
451,4333314,692396,10,8764409
452,2624572,3262045,10,306858
453,3845419,4147461,16,1163700
454,2253080,2971315,10,3189465
455,1283629,1248052,7,7355420
456,6635280,3690070,18,11310976
457,3805595,1285292,10,8217004
458,3761203,2264147,13,3675768
459,1728869,908369,4,5135474
460,1362657,5286726,12,-1694579
461,2810303,3298519,14,9369097
462,5271823,2019152,14,5418871
463,5021437,2431666,14,10334214
464,3120413,761870,10,8160137
465,4312975,2094321,11,4940928
466,2772706,2279425,8,5820341
467,4388712,3828331,15,3898581
468,3936168,2968086,12,2803936
469,1883147,3617811,11,7683903
470,1504526,2631885,9,-836790
471,3548401,2064985,10,2471281
472,1547126,3611502,10,6056345
473,2224648,227861,6,3210593
474,1472081,2824787,8,7051559
475,3188681,5584650,12,2885704
476,2725045,4085971,16,2630205
477,3300349,3261020,11,5362187
478,3104411,897881,8,4669164
479,3682276,3814544,18,2227740
480,2562337,2584242,9,5521005
481,1808075,4246601,9,2140995
482,4752291,3273150,16,3218759
483,1875511,1793715,6,1411355
484,2045659,509927,5,6811053
485,1519432,4772554,11,2140399
486,6308374,2038253,16,11910529
487,288321,1714814,7,2920448
488,1947671,2372256,11,7345982
489,1596733,1909855,9,9407597
490,871026,2377025,7,6318188
491,943765,4106013,8,808854
492,806164,2547534,10,232598
493,723478,1085071,6,5816856
494,3918149,1749373,11,10456417
495,5221966,2332866,12,4290758
496,4429413,2510966,13,4380505
497,3356570,4280708,15,2209948
498,2604979,2974968,12,2070770
499,2854125,2803759,10,3191234
500,4489202,3904459,12,2994268
501,3743000,1371917,12,10002958
502,3222595,1109838,10,9532351
503,6405754,1975377,13,6093500
504,1882226,1085047,6,3926111
505,0,851732,2,2052327
506,2528343,1585665,7,1369964
507,1658828,2556695,8,5043305
508,3300415,674889,11,6918574
509,5215653,2926449,16,11458437
510,3262128,1325313,12,2951540
511,2811793,2771296,9,6165514
512,5797580,2709438,12,9691088
513,3786677,1925854,11,8186666
514,655221,1191994,6,4323847
515,2593417,112428,6,8931183
516,1955510,3024946,10,3134655
517,4077462,3592928,14,961477
518,1388660,2494526,8,-982424
519,2042542,2822876,11,-659211
520,2174731,3554476,8,963896
521,3272987,1315477,9,2558430
522,435419,3361753,9,2471867
523,823316,2805275,9,7733858
524,4382226,4435719,14,4065562
525,3568414,1255849,9,4418089
526,1269902,2592167,8,-797841
527,2661101,3608959,13,6677540
528,3763311,3114314,11,3610579
529,1222306,2747462,9,4343799
530,4493328,1711283,13,5491341
531,3911656,2603748,12,6519702
532,2550692,2712609,11,4397632
533,3101946,2903212,16,8237616
534,1990650,929052,8,6798583
535,56806,3056248,8,1014293
536,1617317,450736,7,11077168
537,3369352,4493332,13,4570595
538,1707824,1849887,8,3503619
539,2443271,2964399,10,633896
540,3165993,1216757,7,4035630
541,5638319,3333349,17,11843410
542,3723140,637277,10,8539018
543,3864986,987097,8,7368017
544,3759937,1737872,12,9354291
545,4934177,4093109,17,6461794
546,4388226,1270712,9,5672365
547,3306934,3108769,12,407264
548,3228639,1918086,10,7878794
549,2967562,2740500,11,8456869
550,2159718,84138,5,9562378
551,4601479,1439014,12,8688152
552,3415072,865983,9,8672717
553,1334316,6340645,15,-968564
554,3224776,2789591,14,2405036
555,2901135,4594027,15,6031198
556,5145344,2305234,13,12231254
557,519186,5017787,11,3678918
558,471449,962709,3,1972500
559,1944588,2662090,10,566236
560,2834440,1608497,8,2311800
561,1587003,3986184,12,4963882
562,2652461,3242913,9,6920064
563,4188836,1581879,13,10925595
564,2544910,1313647,7,3131173
565,3304089,3292792,12,9858114
566,2201479,2112675,10,8392157
567,970718,1872713,6,1508064
568,3328708,2342159,13,2466556
569,3570423,1556809,8,3612165
570,2777519,1891341,8,9440355
571,1876769,0,3,4715908
572,2973333,672039,7,7280367
573,4624312,4051274,13,3069337
574,2391328,2805355,11,5668174
575,881121,1143129,4,7215031
576,2025232,5054312,13,3154052
577,0,917217,4,-531761
578,3297017,751641,6,9341435
579,3536357,3752761,16,3971003
580,575766,1707684,5,4620784
581,4696064,1644628,13,9395056
582,1396834,1922956,6,62935
583,2895624,4551605,14,1840292
584,1618457,1317029,8,4197082
585,1121542,1068886,6,8225279
586,2191437,1022268,8,3092344
587,3130515,0,6,10517023
588,3826119,3032247,14,2861030
589,4070246,1821967,10,5498468
590,3907050,387616,9,4578074
591,3332252,2785061,13,5012335
592,1855545,3507338,9,-724323
593,3002698,0,5,5263704
594,3832446,2790583,12,7369336
595,3844539,777319,8,3748398
596,2254380,918350,5,7059937
597,750140,1957194,5,1500929
598,2602995,1444519,7,9577019
599,940983,1772460,7,290816
600,2188795,791074,11,6317451
601,1656008,4178250,11,-2472067
602,2013984,3597516,10,1372108
603,4547340,2916852,11,11244855
604,630633,4501114,10,-2522594
605,520414,968615,4,8428936
606,879262,1430357,5,3265949
607,3885712,2292053,12,6632572
608,3670561,2233231,11,7302058
609,3411561,1719202,9,10245149
610,1475912,2945315,8,203618
611,3144000,1308854,8,8030875
612,5157244,2682809,16,11703406
613,1123589,2477936,9,2543030
614,3576647,4700260,16,4030460
615,7396,1055403,4,6009652
616,5094661,3377504,13,11463355
617,4103341,1048851,7,4488739
618,1678278,1847592,7,8154628
619,2613268,1560094,8,6666050
620,2270963,3443643,11,7360606
621,2152664,4272257,11,3421207
622,3667363,2072414,10,4662757
623,888625,1574899,8,9175066
624,1753617,1946561,9,2725281
625,4463242,1230726,12,11982318
626,2017405,1339636,7,7056334
627,0,4346340,7,-1893522
628,1799980,4236408,12,4439549
629,4322083,1326165,11,12688898
630,2505688,3129838,8,8871951
631,3211466,1619381,8,2911085
632,2365171,0,5,3089556
633,1970824,1968572,7,4822860
634,3758027,383456,8,7033920
635,2695907,2219595,10,3446529
636,2960120,3600150,12,3953572
637,1258332,1497057,7,4795525
638,3002166,1431299,8,4479229
639,4461112,2198116,10,7112924
640,3345107,702472,9,7078122
641,2877320,2485949,10,9348088
642,5359890,1336038,11,4356507
643,3643509,5077434,21,4983002
644,3537777,1751693,9,9542702
645,2273264,40712,5,8947661
646,6278900,1376612,14,10450424
647,2290999,1195880,9,6382308
648,1542419,865727,8,5471197
649,2464769,357282,8,3142192
650,2325151,2783681,10,3142243
651,5224474,960090,9,9067730
652,3859798,2396570,10,5791413
653,1724038,2818982,6,-98643
654,254286,2447480,5,7177555
655,1452360,2462456,8,5832619
656,3929559,3182603,13,10603220
657,2945058,3420715,12,5230001
658,2065935,842923,7,10001628
659,1525907,1798809,9,2581821
660,3098640,4570580,13,-258803
661,2429948,0,6,6868600
662,2735477,2293601,14,5464325
663,1251668,3364474,12,7074940
664,2802369,2095944,11,7466460
665,4338083,2084987,11,9587473
666,3407174,2198129,11,10059753
667,1722664,2876734,7,-240450
668,1301498,1644538,6,1838565
669,995316,2557090,8,7101821
670,2878802,2370855,10,3329472
671,4199063,2405120,11,6016708
672,2290999,3292834,13,2065806
673,2280252,2474274,12,4312479
674,4478045,1731954,13,12593616
675,3430025,866317,7,11074694
676,3379047,3713198,14,537206
677,3234104,1839507,10,9108831
678,2005694,0,6,11486254
679,2830704,586230,11,10140217
680,0,328568,2,2614320
681,2860365,985537,7,2944957
682,3099814,2895482,11,2220007
683,3001651,2533368,9,6619294
684,4735916,2466428,13,5447998
685,1187725,2505683,10,-1043291
686,3431063,1345628,10,11200333
687,1260394,2268870,9,5784556
688,3443634,895574,7,8036750
689,2096929,334836,5,9564511
690,2257180,3920407,12,2169859
691,1375271,1975624,7,2816103
692,3590567,1917128,13,3493891
693,2593679,2821934,11,5115694
694,3032793,2181263,10,2810015
695,1414679,1192830,6,7094804
696,3376946,2911991,14,2450955
697,659164,1264604,8,2583737
698,2787611,278951,8,6770551
699,1225492,1933970,6,2481859
700,2854622,693883,8,5104108
701,3906977,2430633,11,10266270
702,3211243,2648635,10,9912300
703,1131104,1964860,8,3993586
704,2152899,1882088,9,9248487
705,1847819,4269214,11,2911598
706,4555293,2025603,13,6427567
707,2044365,2038521,8,6273935
708,4090207,1968340,10,11060626
709,2372471,573217,7,4162647
710,2469517,197639,5,12010550
711,1981906,849823,8,6242156
712,3637442,1638805,11,6816001
713,3855867,2381700,12,11446937
714,2493044,3778158,10,3878016
715,3143214,3224098,13,3642477
716,5003846,3062694,13,8508207
717,3230146,369518,8,12456739
718,1790820,1661656,6,2785170
719,3742451,1406796,12,5142332
720,680503,897515,6,5466198
721,1605060,1708938,6,6252111
722,2731026,2352646,8,3213426
723,1617227,665477,4,1705956
724,329594,2034497,9,5284443
725,4393924,605265,7,10269761
726,1614814,1342586,6,7027637
727,3090412,2216681,10,7858270
728,1432986,1361534,7,3814130
729,1628475,4988748,14,-134446
730,1358937,1489597,8,383105
731,3090832,2789510,10,5363916
732,2891251,1839225,11,5353619
733,1713233,506383,7,8524018
734,6032241,2087311,13,8658029
735,2327739,1679669,7,7554970
736,3467730,2251181,12,1575793
737,1395553,1893388,7,400917
738,2853752,2976566,9,5219387
739,3574386,1898207,8,5780456
740,2860545,2025081,11,5580478
741,893312,3457655,10,3189281
742,3232136,4318181,13,6182301
743,3814079,3237406,15,5246000
744,5183852,1213930,10,12581962
745,4846608,3235565,13,2286650
746,3462300,752512,6,8863097
747,1073157,600229,7,6302108
748,2912195,2872611,14,8750287
749,1756659,1999962,8,2135742
750,2630378,3409179,15,-750751
751,5334093,1631961,15,5060795
752,2333758,3124289,8,710041
753,1089353,5403064,16,105158
754,1536554,189550,8,7220065
755,4376723,1321801,10,9242751
756,1512980,2188962,7,741742
757,1798094,1539777,9,1570819
758,3460230,0,8,11647619
759,3630860,2766114,13,3101786
760,3337489,4101536,14,3232759
761,2208680,1103579,8,5374869
762,2168851,2877584,9,2040823
763,3928311,4069457,12,8299898
764,3152714,29442,8,7218447
765,1980273,4485860,12,6998385
766,960232,423262,5,827032
767,2958557,1903486,12,8853886
768,3987319,3266716,12,9928425
769,3980536,3988636,14,6348561
770,2073278,2663929,11,9274122
771,2154427,2874099,11,1963163
772,1594910,1595838,8,9283243
773,3940201,1328546,9,8447093
774,3483872,0,7,12373838
775,1966693,3083880,9,8595608
776,6501746,2222121,14,13512036
777,3889604,4339704,13,807133
778,1837592,2560244,8,2416615
779,2165665,1676313,10,9565610
780,5448375,1586215,11,12733929
781,3145255,6693045,17,5088081
782,1635800,1603771,9,1552404
783,2021990,1449362,10,6597656
784,3206834,1844135,10,9589951
785,2515152,1381079,10,3853786
786,3783616,2759493,14,10709669
787,2640039,957133,8,5604534
788,2332959,2226155,9,9014802
789,2415263,3093433,12,5030115
790,3559801,343620,6,9481297
791,2088918,3809194,12,2682559
792,2058622,1250781,7,5912931
793,3786255,2736376,14,7179960
794,1648481,1222635,6,4916538
795,2080587,2955656,12,5311671
796,2562364,2492509,10,8599484
797,4734513,3497012,16,5481424
798,4926751,855072,10,5650650
799,2218019,3304711,11,6334220
800,3088339,2603704,12,8024865
801,4852855,1834414,11,12772968
802,8141030,5010986,24,10788889
803,2696666,929138,7,7808729
804,1866337,3233505,11,2363999
805,2443122,1090710,8,4749467
806,4709072,2017107,14,7121301
807,3761283,2217101,8,6223449
808,3091371,267680,7,5870219
809,5202585,1652911,10,4810555
810,5313963,1023976,12,11399190
811,540460,521314,3,7622308
812,1483544,4316664,9,4352917
813,1056308,1771149,7,5938062
814,6183934,3856122,20,3804018
815,1901667,4499778,12,5836125
816,4390608,909483,11,5480709
817,3256572,4092375,15,4369096
818,3206912,3434069,12,8099986
819,1536407,2352978,7,7049807
820,1553101,1736239,8,5387283
821,1933374,1697099,6,7021129
822,2005406,1032353,6,3771461
823,1526451,6725860,16,2740223
824,3703710,4389507,15,7807479
825,3808393,779193,10,11152699
826,5571463,3211230,17,8796197
827,560733,5719607,10,-4371451
828,2953958,1522076,9,6594978
829,2770962,1702557,6,4749073
830,529857,2320635,7,2161836
831,2479181,1701957,8,8869144
832,3462335,514401,15,6140885
833,1776136,2714953,8,-755434
834,2193553,2275030,9,3050635
835,2815464,2075148,13,8205047
836,5035288,3773785,18,7764693
837,1581674,400910,4,8878241
838,1304449,1446428,4,8692360
839,1892690,2611345,9,8625589
840,876961,1623347,7,2110312
841,4006726,1921492,12,9368244
842,2563348,2809932,11,7865877
843,4168691,2085311,12,8052993
844,5314900,831552,10,7561357
845,1670981,2744220,8,598483
846,4947706,1451906,10,7162223
847,1481970,3807892,11,6685663
848,3097883,2812297,14,865715
849,1592369,2281064,10,907911
850,4686419,3287572,13,5227413
851,4234052,2598773,12,3810665
852,4048218,3672651,16,1068788
853,3918378,3336403,12,8775574
854,2044806,2410355,11,3529949
855,2288376,3074738,11,8169340
856,2487856,2412232,11,5591707
857,3308628,5046197,14,-1039421
858,2561314,984422,9,2018864
859,424698,441064,4,8626234
860,3681667,4385220,14,8266471
861,5626516,4005261,17,10105324
862,534630,2061863,9,800310
863,5770123,1438822,12,14043263
864,3268941,1785832,11,4633444
865,4753219,54690,9,5901784
866,685465,2552913,6,4726616
867,1869389,2340119,7,5352703
868,3599071,1163942,10,7873116
869,1345127,2123787,8,6385416
870,2044939,2381629,12,2100455
871,2905839,6286372,16,3824915
872,1939165,486316,5,4899058
873,3704044,5455369,13,2788926
874,3463945,2928248,13,2799747
875,5481399,1019959,11,12965550
876,1636380,4551747,12,6909341
877,3829837,1251516,10,7631753
878,949143,2465743,7,4070854
879,3872164,1112515,10,10065074
880,5670326,683326,14,8377468
881,1138906,756382,4,7007679
882,3572263,3683759,12,8501973
883,2368577,3046862,11,-39052
