ACCOUNT_ID,AMOUNT_CENTS,TXN_TYPE
9337,764637,W
8386,87649,W
2382,464451,D
1555,469787,D
9705,731122,W
172,940900,D
5637,670758,W
6574,747382,D
6526,778328,D
4453,918462,D
242,464995,W
836,366877,D
7697,979759,D
182,890066,D
8892,539851,D
6589,9518,W
924,893525,W
9224,265179,W
9151,942027,D
8793,646831,W
2005,193037,D
729,914114,W
8607,651056,D
8664,112783,D
4320,48569,W
3311,888120,W
365,746311,D
498,88961,D
2605,729489,D
9938,241710,W
9419,326626,W
6187,773896,D
7846,450750,D
9787,834687,W
7370,44262,D
3072,885383,D
5794,726411,W
7592,355689,D
789,421785,D
1789,204347,D
6615,9586,W
5936,678940,D
2380,714814,D
3964,535922,D
8601,582836,D
8439,844760,D
5452,193880,D
7262,671157,W
3230,191594,W
1326,250467,W
1741,383369,D
8862,712756,D
7643,541255,W
8401,387002,D
8559,749005,D
1391,190990,W
2413,695442,D
5249,981865,W
2031,772617,W
2063,816068,D
6342,985578,D
3295,270067,W
3616,450727,W
3330,871564,D
2646,147008,D
3939,356447,D
1970,187858,D
4804,125594,W
1229,791328,W
2545,531029,W
7014,434408,W
7296,293602,D
9782,364768,D
3533,618348,D
4647,90221,W
2286,260615,W
2462,397282,W
8510,893709,D
2377,499220,D
8271,478693,D
9532,996587,D
9688,698524,D
4072,702660,W
589,858390,D
3568,392611,D
8690,522938,W
7380,443635,D
900,962797,W
4458,47031,W
3807,482032,W
5862,384304,W
6058,332162,D
2132,165182,D
6105,185103,W
8040,125847,D
1260,261209,W
9503,836085,D
1588,854025,D
5997,915134,W
9171,254607,D
5173,936076,D
6907,530582,D
8384,68778,D
9219,400588,D
114,215101,W
43,738977,D
8187,705192,W
2381,645522,D
4098,743015,W
2493,379449,D
9322,188192,D
2458,953339,D
7602,426811,D
8037,883334,W
5428,942668,W
9884,319571,D
8746,254712,D
6722,56646,W
8592,460313,D
7775,143758,W
5237,224015,D
292,558407,W
6472,479420,W
214,176481,W
9142,778055,W
444,714754,D
2194,825250,D
149,80540,D
3533,536758,D
1451,330236,D
3762,402057,D
6365,507546,D
9040,58436,W
1972,920656,D
8577,222396,D
7538,52149,W
4681,1884,D
895,227866,W
2495,553395,D
8622,566628,W
1887,79571,D
6698,446661,W
3255,116774,W
4684,71354,D
1003,158224,D
4556,709466,D
714,374447,W
3587,287188,D
3029,954012,D
4302,596455,W
5303,947415,W
7554,952412,D
487,106227,D
242,333445,D
4453,620660,D
3024,930111,D
51,73838,W
3145,873869,W
7174,896584,W
9649,791340,D
3593,358981,W
6787,561526,D
4487,257442,D
9692,885335,D
1578,603287,W
860,275910,D
296,570198,D
3015,633738,D
9528,662491,D
3684,657805,D
2155,375422,W
1014,30047,D
8404,12339,D
9137,266966,W
2947,987596,D
6012,277423,D
478,332740,D
3640,608335,D
9648,480130,D
770,401222,D
3982,78442,D
6945,457330,D
9603,177563,W
2542,717626,D
9766,413557,W
601,436319,D
5315,224188,D
9134,618493,D
2579,2233,D
2047,620275,D
2053,964861,W
7612,584163,D
9265,59740,W
4378,644130,D
5315,152168,W
1489,302349,D
9325,107417,D
6562,164043,D
6830,283231,D
3888,836408,D
2906,951401,W
3019,738765,D
6240,232232,W
9517,903643,W
7544,527243,W
4490,313896,D
7046,522456,D
8272,535838,W
3057,99772,D
4061,956665,W
7469,556773,D
4205,152860,D
5507,643047,W
7639,433658,W
7830,945512,D
8928,800465,W
6180,82085,D
1767,250420,D
9025,592848,W
2413,753745,W
1639,667584,D
8774,105077,W
9232,79455,D
3920,419134,D
147,151083,W
5366,119689,W
9090,316774,D
4219,895199,W
3717,710350,D
1640,979340,W
1872,563463,W
7332,841945,W
1932,749985,D
3878,416645,W
8014,995239,D
7001,841452,D
7623,26385,D
7027,239181,W
4539,122838,W
7839,725198,W
8070,414558,W
2750,123863,D
6685,664642,D
8851,800023,W
8910,780269,W
9814,893255,W
9285,14161,D
7394,493638,D
8777,235637,D
3165,6396,W
4928,253903,W
4888,279514,W
9578,837058,D
6404,266303,W
9106,701532,W
5233,418320,D
7479,166866,D
9266,998197,W
6577,8981,W
1166,117977,D
4973,787937,D
611,844829,W
1350,20035,W
9832,812247,W
6982,188116,W
7346,495255,D
4157,917667,D
9728,531548,D
2175,59147,W
7779,33304,W
1804,316603,W
7479,557767,D
6596,135323,W
2890,819314,D
2312,830104,W
6589,54342,D
4147,406794,W
7646,336290,D
230,83453,D
2980,401502,W
1301,715159,W
2221,101972,W
4068,777602,D
9479,524229,D
3973,195984,W
2174,739821,D
9618,630950,W
5035,992089,W
3242,131210,D
8133,190856,D
6907,992808,D
6374,949420,D
1829,756211,D
3167,196872,D
2858,584773,D
6155,650511,W
5957,222845,W
850,883657,D
3228,646682,D
3634,142982,W
9553,545776,D
861,576295,D
5953,170841,W
5901,549087,D
3621,133356,W
230,585434,D
1925,489178,D
7116,900426,W
4372,190743,D
2263,456391,D
3514,267946,W
6868,195988,W
3122,241908,W
621,222565,W
4722,628717,D
9856,456096,W
5120,124385,D
3113,339453,D
4700,501158,W
661,257079,D
2222,68378,D
5504,528529,W
1756,798709,D
5584,617989,D
4527,550893,W
6093,122031,D
2908,326490,D
2994,97393,D
4074,124932,D
4328,83298,D
5879,922903,W
4041,430692,W
8799,640559,D
9053,647898,W
3878,227584,D
3974,70347,D
8630,166722,D
2335,686170,W
4442,939193,W
4473,779677,W
3032,295174,D
9763,706646,D
9673,734844,W
4932,857785,D
4101,376558,W
1333,209119,W
4070,532732,W
3879,229767,D
3043,704170,W
7239,623009,W
215,456478,W
494,696186,W
7665,941639,D
3734,939251,W
9329,789346,D
6982,552929,W
6509,233636,W
3411,188907,W
1797,191744,W
5737,226817,W
7420,729581,W
6494,475316,W
9118,386987,W
1229,615920,W
9893,517448,D
8027,739447,W
5761,412412,W
9349,27796,D
5091,345278,D
9634,635370,D
4900,155462,W
1838,169896,D
2123,844710,W
2544,24930,D
9042,735255,D
4584,40783,D
4602,598738,D
33,62275,D
8728,881684,W
5512,789582,D
4519,944197,D
2560,982510,D
2317,610602,D
5048,654420,W
4367,933174,W
9736,983128,D
8595,480483,D
7880,512555,W
8121,960339,D
5096,825454,W
1000,305144,W
8314,147738,D
1819,194593,D
620,784652,W
5406,628317,D
4864,574666,D
8173,223743,D
1982,535133,W
4599,129078,W
3387,69137,D
2238,402089,W
4134,330022,W
7319,859455,D
1522,947744,W
7138,515835,W
9075,536467,D
3614,514317,D
6120,264337,W
6418,759265,D
5862,270392,W
1871,135662,D
5545,755284,W
9816,186053,W
279,22157,D
3422,55034,W
6970,480770,D
4270,242254,D
7831,838541,W
830,111806,W
7482,395485,D
3014,412139,D
7586,623806,D
8713,150093,D
9518,468023,D
1339,636073,D
6776,849375,D
6044,452959,D
9485,339163,W
9746,17549,W
4040,367679,D
7524,691731,D
1980,544881,D
3197,897704,W
4779,543209,W
7718,25026,W
786,380666,D
9080,793811,W
2784,268076,D
4826,680302,W
4310,596058,W
4972,317831,D
1662,377533,W
4808,450545,W
3030,22669,W
6689,264070,D
605,459922,D
5667,231199,D
3239,915985,W
2305,936420,W
2539,869237,W
6527,157811,D
5290,222400,D
8962,577269,D
334,381581,W
6812,448588,D
8725,403241,D
3586,690100,D
5809,179085,W
8263,572782,W
3616,19563,D
7680,486414,W
4874,662324,W
4920,371364,W
1143,539805,D
6485,458401,D
3181,434981,D
685,113952,D
5834,341601,D
4838,361896,W
2173,403014,D
734,974235,D
8197,164590,D
8898,584801,W
9410,878313,D
8643,619955,W
3662,484409,D
5564,208971,D
1997,89097,W
7159,738574,D
5152,995247,D
34,270439,W
101,118930,D
4329,305119,W
3366,851029,W
1893,949053,W
1157,402340,W
5086,185091,D
5764,597404,D
4362,648374,D
6556,106210,W
3009,964321,W
9439,755696,D
5368,267376,D
466,992978,D
4784,842427,D
5163,50614,D
2864,973232,W
4750,453173,D
9471,798635,D
217,971724,W
3920,15417,D
5616,50904,W
1677,843241,D
1732,260704,W
8973,39595,W
7745,240621,D
5682,256966,W
7840,768092,D
4783,101413,W
1778,794570,W
9208,118191,D
9227,548213,W
6355,482195,D
3270,549626,D
3541,172749,D
7108,206725,W
2265,183932,D
2805,522439,W
5811,730522,D
2435,811469,D
9026,179743,D
5637,57713,D
8013,655153,D
6746,416193,D
4375,391627,D
775,346354,W
7614,614482,D
6515,550595,D
4595,181724,D
9119,74366,D
4324,957123,W
1919,861663,D
6038,112415,W
9271,104546,W
1082,715980,D
7655,169717,W
3709,641647,W
9477,583142,D
4553,3693,W
7698,503599,W
2152,573201,D
5841,508690,D
3019,48591,D
851,852616,W
6286,855497,D
5409,424389,D
6707,568579,D
935,611947,W
4589,894052,W
7076,363880,W
6141,105869,W
5301,37819,D
8075,121443,D
2823,767134,D
8105,414881,D
4141,121378,D
9577,326870,D
6480,398898,D
9965,273267,W
4009,946443,W
8443,551319,D
1699,870191,W
9555,998236,D
3874,867453,D
2979,354245,W
4037,304849,D
6324,482007,D
1529,525782,D
8166,350749,D
6922,961472,W
9287,566221,D
7922,767990,W
8899,139824,W
2827,903216,W
2372,730414,W
3258,603869,D
5875,817801,D
8442,261970,D
1294,373665,W
6317,254596,W
6876,59380,D
2974,911439,D
5077,22781,D
1169,413716,D
5667,734322,D
1019,617866,D
6128,316187,D
2368,728906,W
3393,200150,D
6973,716125,W
7819,194907,W
565,229251,D
9870,50297,D
7673,785080,W
7345,619944,D
855,637206,W
2425,147320,D
8225,201502,D
2511,471626,W
8895,921306,W
3909,952034,D
2048,235428,W
1357,113309,W
4670,961758,W
3056,532326,D
9661,590009,W
6996,464985,W
2218,603035,W
4625,648028,W
1364,560913,W
6360,210404,W
386,998871,D
3419,70757,W
2432,653284,D
6536,345878,D
3343,574245,D
2478,508883,W
4732,982230,W
578,242030,D
3641,322234,D
9542,943309,D
6986,908687,W
7647,883646,D
6905,237768,D
9860,104734,D
2142,477414,W
8289,568411,D
4274,936214,W
2379,664637,W
5318,468520,W
9322,511572,D
9061,854376,W
1172,499127,W
9090,740394,W
9528,636149,D
2209,746976,D
2927,474373,D
96,338044,D
2493,370022,W
3158,80161,D
3891,938889,D
2106,21417,W
457,820333,D
2115,287410,D
3771,359284,W
7831,246769,W
4408,870841,W
2290,209724,D
8205,641426,W
2861,348257,W
2785,900131,W
9394,548226,D
2463,943023,W
926,771244,W
1511,638340,W
6850,639312,D
5838,265626,D
1946,665568,W
9211,510713,W
6279,325400,D
942,797723,W
1301,986096,D
843,37054,W
9547,667368,W
7038,524389,D
55,220140,D
9864,615193,D
6281,314931,W
2965,620240,W
9001,806092,D
6705,43537,D
4576,4711,D
7933,309792,W
9779,765272,D
3641,468275,W
3255,543325,W
1254,999392,D
4907,568563,D
6740,813669,D
1111,900801,W
3444,9992,D
9362,649680,D
9450,446699,D
546,765188,D
7602,23993,W
9840,164557,W
1717,263610,W
9618,507236,D
8206,187199,D
7873,402129,W
7001,386235,D
963,331509,D
5591,373546,W
6916,473838,D
6188,490133,D
3760,236275,D
1376,729795,W
2997,793273,D
9607,255734,D
8465,257213,D
9925,232822,D
8960,356817,D
3217,586169,W
3617,600203,D
4396,598087,D
1445,587911,D
2776,11519,D
7754,890153,D
359,694062,W
4819,690120,D
3422,386606,W
693,187811,D
6946,667026,W
5890,86963,W
3302,819204,D
380,971309,W
6797,342140,W
8741,151346,D
6202,134410,W
5888,523723,D
5002,949050,W
5047,678612,W
7253,448385,D
124,878840,D
6850,40525,D
8270,332841,W
644,970620,D
3520,266939,D
4274,96173,D
1160,541422,D
3020,819980,D
9237,649990,D
3570,689847,W
7466,328062,W
2910,828891,W
8590,187066,W
5060,691937,D
1856,21635,W
7556,370345,D
8666,421686,W
9633,291006,W
8821,399402,W
6504,831389,D
2117,396101,W
3930,690753,D
2164,749899,W
5923,418748,D
2956,197854,W
4435,754296,D
3764,972456,W
2184,807554,W
9118,786490,W
1403,203467,D
3121,47047,D
6228,84250,W
2914,95389,W
2085,223422,W
9596,183470,D
2322,417374,D
6279,746189,W
3487,34722,W
1960,747768,D
3848,73331,W
6048,718632,W
929,936108,W
3794,428618,W
1496,411934,D
4386,782836,W
1105,105357,W
3277,531186,W
8728,80204,W
1179,593184,D
7360,221595,D
2984,676317,W
3919,97505,W
7381,463893,W
6769,703919,D
6443,995212,D
6885,727681,D
4991,407370,D
5860,379993,D
9230,819816,D
6135,434511,D
2497,850300,D
20,961438,W
1335,704003,D
9004,761577,D
4576,632364,W
3813,497588,W
4068,869736,W
1432,147760,W
4140,949632,D
5620,946028,W
7772,983995,W
1385,989109,W
8161,685181,D
6152,701199,W
3403,748502,W
8281,628312,W
1839,55482,W
8235,522916,W
6846,778643,D
8687,921999,D
8336,733469,D
186,80803,D
9312,524759,D
4872,271798,W
9043,467174,D
1028,673489,D
2580,520363,D
1075,358368,W
9725,288314,W
6028,642201,W
2198,106908,W
7062,261351,W
7216,652856,D
1087,79136,D
2042,440125,D
4095,471850,W
6543,247364,W
8958,376213,W
2687,121608,D
4102,819315,D
6072,114615,D
6078,307051,W
5790,904704,W
7809,290310,D
8193,141239,D
4396,261178,W
4737,444735,W
3523,575653,W
5914,8471,D
5942,32074,D
2562,861494,W
2384,238298,D
3392,277228,W
611,708778,D
1470,454074,W
4308,769271,D
5850,8045,W
5963,113511,D
1793,305021,D
9631,146771,W
9463,943010,W
2290,47981,W
8285,666269,D
7740,931862,W
8999,679082,D
6593,650568,W
5860,566692,W
1899,556704,D
7833,123837,D
6810,826385,D
3855,652674,D
301,926822,W
7807,4390,W
1117,261712,D
634,953650,D
6040,69582,D
874,679719,W
4732,917230,D
7629,737007,D
4262,799434,D
6773,394376,W
3562,341182,W
6605,153112,W
8980,245456,D
4857,344710,W
1425,107234,D
362,310454,D
9434,933139,W
241,565201,D
6568,415827,W
4993,90817,D
4633,620134,D
6962,96886,W
8352,411923,D
687,631811,D
5783,390574,D
5073,872018,D
7406,949433,D
1908,17632,D
660,835235,W
513,663079,D
8249,374073,D
2192,402095,W
4098,853929,D
2418,686219,D
1985,826369,D
5121,217168,D
1294,144394,W
6312,530572,W
6269,412257,D
4288,102050,W
5355,317629,W
4818,167289,W
1135,857843,W
5292,121591,D
4991,817397,D
9880,740467,D
4848,840028,W
6196,167145,W
8677,708643,D
4457,933391,D
8668,529808,W
3835,264824,D
3806,486275,D
6055,879695,W
9113,84589,W
6899,365475,D
2672,492363,D
5019,690001,W
3597,486055,W
3859,185819,W
7259,12706,W
3277,937315,D
6121,865719,W
4862,174358,D
5440,799094,W
3678,970877,D
5402,629152,D
5172,14438,W
22,200348,D
6236,707119,D
9124,464345,D
5235,79290,D
7102,224434,W
5350,891645,W
4173,494177,D
6918,150894,W
994,728442,D
4900,606302,D
4703,840492,D
3746,270285,W
7696,453949,W
7905,293761,D
3403,966642,D
7581,831618,D
3452,473263,W
6396,82195,D
7790,306460,W
1876,982127,D
1307,302373,D
2620,311146,D
4399,333860,W
2206,155280,W
8898,182863,D
8362,425547,D
3010,300073,W
8265,74266,W
422,17462,D
3699,972789,W
5213,323056,W
7166,535182,W
9637,434554,W
1126,991761,W
4967,487428,W
5422,585257,W
4027,62451,W
2693,711926,W
9857,707475,W
445,422953,W
1498,579891,D
2353,706491,D
9008,324348,D
7877,569784,D
6998,648920,D
7424,125968,D
4692,768702,W
2836,862528,D
2886,794253,D
684,402482,D
4445,654165,W
7004,342832,W
1556,629338,D
3607,113660,D
1074,102722,D
5560,960322,W
9373,622783,W
3155,57371,W
9593,112253,W
4483,869112,W
7333,306363,D
2651,997246,D
1587,275989,D
2788,899715,D
192,364098,D
3797,476306,W
9802,174219,D
4551,459094,D
4175,79110,W
3295,543077,D
5083,922062,D
7933,642874,D
4023,179389,D
6105,214434,D
5114,549141,W
7389,886703,D
9691,521905,W
8000,508636,W
9083,987855,W
9901,856492,W
9400,352098,D
7997,107362,W
3154,602452,D
970,180139,D
526,364786,D
5214,481158,D
6912,469974,D
5409,977788,D
4258,955719,D
5399,916000,W
751,827270,W
6771,496966,D
8965,908998,D
8757,931960,W
1681,263044,W
481,862742,W
916,670773,D
2374,8776,W
3875,233806,W
9961,877975,D
1071,813235,D
1780,939462,D
3313,926071,D
5096,543015,D
1156,926865,W
7988,312915,D
6777,458222,W
9354,666305,D
4196,794527,D
2682,339018,D
5187,431792,W
3059,91130,W
5127,59520,D
2856,724169,W
2590,531758,W
1365,498884,W
1954,162674,W
4915,922817,D
3804,260503,D
445,95534,D
2901,837052,D
9836,142692,D
9280,926384,W
4709,406648,D
7916,961626,D
9206,462624,D
3892,153209,W
8391,284011,D
7524,345279,W
6750,330685,D
5490,909616,D
6884,511966,W
753,467717,W
8662,151485,W
8604,957502,W
9392,202975,W
5552,58364,D
959,93228,D
2831,152873,W
1586,55126,D
6596,266119,D
3753,741649,D
844,984044,D
5961,611985,W
9245,906549,D
1475,587853,W
538,668620,W
9174,722388,D
7487,349115,D
1985,255860,D
2721,556751,D
8388,133906,W
548,442862,D
3941,469075,D
3852,86205,W
899,766797,W
1614,548187,W
3142,507161,W
8445,56365,D
6369,83733,D
3648,711965,W
7852,364328,W
6804,837027,D
176,280229,W
8470,894851,W
5561,909802,D
730,342138,D
704,754482,W
3088,214006,D
8404,513845,W
8547,381176,D
1297,342147,D
6540,557706,D
2640,740689,D
4096,621418,D
6986,78855,D
5659,966465,W
9323,178004,D
7459,105654,D
4355,466438,W
4495,184631,W
1350,630245,W
540,858846,D
4001,93662,W
1441,785200,D
7061,765225,W
1164,565424,D
0,471709,W
1054,474722,D
7949,203651,W
6235,788348,D
1621,309371,D
8294,570363,D
2146,294278,W
9188,797468,D
5439,702071,W
6498,920273,W
3783,707824,W
1384,128684,D
6354,103764,D
4754,894542,D
1666,879900,D
8638,738738,D
2146,96761,D
6642,429207,D
475,696531,D
1795,634106,W
7686,265681,D
4655,59604,D
6802,859056,W
1453,964893,W
2485,664378,D
3466,599460,W
3788,641702,W
475,725511,D
118,688544,W
8901,807802,D
6801,343739,D
4001,757958,D
1922,436872,W
2293,852593,D
6216,882583,D
1728,470972,D
5842,346041,W
483,637234,D
8232,57342,D
317,988122,D
1970,5762,W
2179,128575,W
9135,324689,D
1390,798162,W
304,162038,D
2487,18459,D
881,273395,W
5372,729293,D
1413,892358,D
9820,522264,D
8727,483628,W
9732,759876,W
1723,327493,D
2737,428305,D
2986,453483,D
6744,121069,W
212,487858,D
3486,585562,D
9526,814141,W
846,476201,D
8673,37234,W
176,779731,D
6295,862444,W
1870,24404,W
4349,298024,W
4281,256674,W
5526,23426,W
3703,76281,W
7004,2885,D
9773,539853,D
776,614372,W
812,621820,D
1096,531302,W
6517,403282,D
8456,362074,D
7956,337652,D
8355,482896,D
4434,548369,W
8206,428348,D
6434,213975,D
3083,250771,D
1168,787501,D
3039,535269,D
374,573925,D
7884,960764,D
4328,319163,D
4959,344626,W
7020,504268,D
2657,986501,W
3850,91521,D
3388,902985,D
3790,303217,D
5672,838803,D
1378,363152,W
3246,313834,W
682,875245,W
8000,512588,W
6320,285642,W
7255,991002,W
6822,187388,W
9301,192472,W
6320,696815,W
5093,208418,W
5941,453091,D
3372,867795,W
726,419106,W
2224,541117,W
227,359723,D
8664,699431,W
3858,425176,W
769,268235,D
3604,71455,W
95,431723,W
9520,661713,W
3540,92199,D
2782,903521,W
7277,715155,W
8376,819751,D
8529,360258,W
4121,330433,W
6776,648510,D
8061,127399,W
7313,407020,D
2749,867877,W
3085,629509,W
5247,537780,D
9872,18100,D
2372,317470,W
7497,441359,D
6114,16286,D
8376,481639,D
334,685910,W
673,266205,D
4482,214031,D
98,610549,W
3572,269728,D
9767,491055,D
2366,338492,D
699,475291,W
9176,793586,D
5581,453059,W
4506,225346,W
9524,796109,D
6405,54681,D
4188,537099,D
8348,392542,D
3773,962517,W
2285,76040,D
6536,297475,D
3967,866383,W
1799,103994,W
3547,553492,W
56,607297,D
7996,339272,D
1829,85324,W
1010,392789,W
6961,504610,D
2594,741654,W
8641,983353,D
7177,813053,D
5423,464314,D
7432,910402,D
5521,351711,D
7657,402791,W
5472,74909,W
8872,250515,W
2446,996001,D
8997,635936,D
2061,194487,D
7894,228555,W
5180,310348,W
7401,223580,D
9943,307714,D
9943,511942,D
5002,727222,W
4364,714455,W
5568,635872,D
3579,536648,D
7701,914955,D
4329,145820,W
817,128561,D
1094,292761,D
3136,469436,D
7660,668040,D
7184,960559,D
8795,265551,W
8421,882894,W
1081,459123,D
8074,255518,D
1294,955692,D
5258,650175,D
3446,997777,D
3260,914196,W
2670,51625,D
4277,258062,W
3068,284488,W
8774,601808,W
1277,198832,D
5600,646740,D
3965,667939,D
4748,454316,D
5639,375306,D
3842,938097,W
4216,548769,W
5048,465292,W
8169,451226,D
1442,491763,D
7354,367924,D
3379,897532,W
4135,633819,D
5088,64748,W
8248,226980,D
7586,854066,D
6055,730271,D
1202,131283,D
5905,292121,W
8685,444510,W
7635,942778,W
5451,715320,D
3530,397677,D
5404,10290,W
1863,695152,D
8514,892813,W
7436,543430,W
5243,785539,D
6624,84063,D
7998,996151,D
3293,927295,D
2504,602975,W
7577,977284,D
2217,425175,D
7750,659528,D
7931,339302,D
9891,221565,W
5157,283801,W
4882,435346,D
1033,953844,W
1022,443982,W
1186,127311,D
8973,299572,D
4999,30359,D
6196,808463,D
9480,924782,W
1422,385797,W
9472,384317,W
3919,63402,D
3448,983529,D
8414,495965,W
2446,866392,W
5866,653384,W
7195,572000,W
638,250116,D
3399,341332,D
302,625397,D
3676,27440,W
6215,937331,W
7870,742877,W
9266,641300,D
1624,989417,W
2007,831275,D
3954,592225,W
1081,128805,W
3028,658007,D
8239,549768,D
7614,386797,W
8522,456396,D
4613,468426,D
7905,646535,W
8572,830096,W
2489,442831,D
9116,107878,W
173,420767,D
6823,115480,D
7878,408369,D
7165,912687,W
2252,283833,W
9970,555376,D
2214,788670,D
4457,966381,W
8818,511170,W
4205,793163,D
3995,908917,D
9024,444165,D
6644,905159,D
2707,40762,D
2458,518666,W
2761,678148,W
8682,787454,W
1671,834465,D
2925,36663,D
1272,594342,D
6092,17048,D
1057,75624,D
581,845577,D
585,314842,D
1913,119072,W
7106,543585,D
7056,848234,D
2469,519004,D
3418,817559,W
1516,733074,W
277,772733,D
1269,933955,D
3041,754918,D
2766,599562,D
2328,432693,W
4386,540145,D
3416,158122,D
4430,37711,D
3571,327128,W
2840,495157,D
537,889344,D
7295,490990,W
4944,183650,W
7152,72883,W
777,141823,D
9522,735706,W
4077,179846,D
7546,715965,D
9276,728718,D
661,921690,D
7656,730870,D
7624,528823,D
5268,21570,D
8732,369922,W
8325,850899,W
1765,163567,D
2202,860983,D
8150,458570,W
2283,964014,W
5182,938155,D
2079,493327,D
1859,545961,D
9507,771442,W
8073,436400,W
8483,572238,W
874,897123,D
367,505113,D
7072,197868,W
9525,95832,W
1011,235227,W
5770,283666,D
3797,700945,D
8405,399859,D
970,640781,D
1825,513514,W
2639,566422,W
2649,548454,W
5083,935997,D
5294,90358,W
526,947843,W
9279,289748,W
5211,969481,D
9134,53975,D
344,910687,D
6286,692744,W
2315,276009,W
4832,551404,W
5578,976781,W
5286,868778,D
311,971320,W
61,742761,D
9842,552691,W
2665,440996,D
7567,864044,W
5609,706989,W
5098,502710,W
5041,313647,D
3861,507138,D
1409,321078,W
1785,311156,D
5961,530894,D
7302,402739,D
9322,26917,D
6752,710423,W
5449,688466,W
6257,580739,D
7932,814196,D
7026,640837,W
7842,80914,D
9111,503075,W
573,770004,D
8535,395225,D
7625,68223,W
3897,624508,D
3530,187609,D
7232,892422,D
4296,79097,D
6137,573484,D
3562,747669,W
9194,597313,W
2244,193301,W
166,488144,W
7276,786251,W
1496,860717,D
6070,922952,D
598,91100,D
5607,507287,D
8456,17672,D
1158,851173,W
8622,380243,W
9090,171395,D
4762,458964,W
431,741657,W
8893,834853,D
4717,890547,W
9867,576560,D
2826,551539,D
5490,148087,W
8021,665012,D
5029,748862,W
4513,81362,W
6930,555376,D
1545,233258,D
4861,716625,D
607,913258,D
2507,198361,D
1988,357767,D
9787,442748,D
8724,925491,D
8406,153031,W
7880,236862,D
5462,965045,W
349,766015,D
2399,46162,D
5484,587833,W
834,938388,D
4608,957148,D
106,345378,D
5816,750456,D
4301,677211,D
4704,426402,D
1726,417978,W
5425,59731,D
8113,60193,D
5511,435004,D
1354,575530,D
5413,42663,D
9503,310593,D
6083,978805,W
2797,492714,W
203,104356,W
6201,586396,D
4446,252865,W
8884,585599,D
5832,358420,D
2415,863984,W
1584,231947,W
6316,370875,D
3137,85160,D
6757,658745,W
9619,444363,W
763,889175,W
3134,402423,W
5532,598526,D
5420,827195,W
57,264191,W
